"film_id","description","actor_id"
1,"A Epic Drama of a Feminist And a Mad Scientist who must Battle a Teacher in The Canadian Rockies",1
23,"A Lacklusture Display of a Dentist And a Dentist who must Fight a Girl in Australia",1
25,"A Thoughtful Display of a Woman And a Astronaut who must Battle a Robot in Berlin",1
106,"A Amazing Display of a Mad Cow And a Pioneer who must Redeem a Sumo Wrestler in The Outback",1
140,"A Emotional Character Study of a Pioneer And a Girl who must Discover a Dog in Ancient Japan",1
166,"A Thoughtful Panorama of a Car And a Crocodile who must Sink a Monkey in The Sahara Desert",1
277,"A Beautiful Panorama of a Lumberjack And a Forensic Psychologist who must Overcome a Frisbee in A Baloon",1
361,"A Amazing Display of a Composer And a Forensic Psychologist who must Discover a Car in The Canadian Rockies",1
438,"A Beautiful Reflection of a Womanizer And a Sumo Wrestler who must Chase a Database Administrator in The Gulf of Mexico",1
499,"A Action-Packed Tale of a Boy And a Lumberjack who must Chase a Madman in A Baloon",1
506,"A Beautiful Character Study of a Woman And a Man who must Pursue a Explorer in A U-Boat",1
509,"A Epic Yarn of a Cat And a Madman who must Vanquish a Dentist in An Abandoned Amusement Park",1
605,"A Awe-Inspiring Display of a Husband And a Squirrel who must Battle a Sumo Wrestler in A Jet Boat",1
635,"A Thoughtful Drama of a Dentist And a Womanizer who must Meet a Husband in The Sahara Desert",1
749,"A Beautiful Epistle of a Astronaut And a Student who must Confront a Monkey in An Abandoned Fun House",1
832,"A Taut Saga of a Crocodile And a Boat who must Conquer a Hunter in A Shark Tank",1
939,"A Unbelieveable Display of a Mad Scientist And a Mad Scientist who must Outgun a Mad Cow in Ancient Japan",1
970,"A Lacklusture Tale of a Butler And a Husband who must Face a Boy in Ancient China",1
980,"A Lacklusture Display of a Robot And a Girl who must Defeat a Sumo Wrestler in A MySQL Convention",1
3,"A Astounding Reflection of a Lumberjack And a Car who must Sink a Lumberjack in A Baloon Factory",2
31,"A Awe-Inspiring Reflection of a Pastry Chef And a Teacher who must Overcome a Sumo Wrestler in A U-Boat",2
47,"A Boring Character Study of a A Shark And a Girl who must Outrace a Feminist in An Abandoned Mine Shaft",2
105,"A Fanciful Drama of a Moose And a Squirrel who must Conquer a Pioneer in The Canadian Rockies",2
132,"A Beautiful Documentary of a Boy And a Robot who must Discover a Squirrel in Australia",2
145,"A Epic Documentary of a Sumo Wrestler And a Butler who must Kill a Car in Ancient India",2
226,"A Touching Drama of a Crocodile And a Crocodile who must Conquer a Explorer in Soviet Georgia",2
