"film_id","description","actor_id"
919,"A Emotional Display of a Husband And a A Shark who must Succumb a Madman in A Manhattan Penthouse",111
599,"A Boring Tale of a Husband And a Boy who must Fight a Squirrel in Ancient China",140
637,"A Lacklusture Drama of a Secret Agent And a Explorer who must Discover a Car in A U-Boat",186
839,"A Fast-Paced Tale of a Car And a Dog who must Outgun a A Shark in Australia",176
494,"A Astounding Yarn of a Womanizer And a Dog who must Reach a Waitress in A MySQL Convention",40
289,"A Awe-Inspiring Yarn of a Pastry Chef And a Database Administrator who must Challenge a Teacher in A Baloon",177
680,"A Action-Packed Reflection of a Mad Scientist And a A Shark who must Find a Feminist in California",21
769,"A Intrepid Yarn of a Monkey And a Boy who must Fight a Composer in A Manhattan Penthouse",56
270,"A Stunning Drama of a Butler And a Madman who must Outrace a Womanizer in Ancient India",94
990,"A Unbelieveable Tale of a Pioneer And a Astronaut who must Overcome a Robot in An Abandoned Amusement Park",61
129,"A Taut Tale of a Explorer And a Pastry Chef who must Conquer a Hunter in A MySQL Convention",197
738,"A Awe-Inspiring Character Study of a Robot And a Sumo Wrestler who must Discover a Womanizer in A Shark Tank",194
517,"A Emotional Display of a Man And a Explorer who must Build a Boy in A Manhattan Penthouse",6
194,"A Awe-Inspiring Documentary of a Woman And a Husband who must Sink a Database Administrator in The First Manned Space Station",178
451,"A Epic Documentary of a Hunter And a Dog who must Outgun a Dog in A Baloon Factory",151
690,"A Stunning Drama of a Teacher And a Boat who must Battle a Feminist in Ancient China",134
654,"A Touching Documentary of a Dentist And a Sumo Wrestler who must Overcome a Boy in The Gulf of Mexico",68
481,"A Fanciful Epistle of a Student And a Astronaut who must Kill a Waitress in A Shark Tank",142
757,"A Insightful Story of a Lumberjack And a Hunter who must Kill a Boy in Ancient Japan",72
893,"A Unbelieveable Panorama of a Feminist And a Sumo Wrestler who must Challenge a Technical Writer in Ancient China",86
320,"A Fast-Paced Reflection of a Composer And a Composer who must Meet a Cat in The Sahara Desert",131
755,"A Emotional Story of a Squirrel And a Crocodile who must Succumb a Husband in The Sahara Desert",97
97,"A Epic Tale of a Robot And a Monkey who must Vanquish a Man in New Orleans",65
637,"A Lacklusture Drama of a Secret Agent And a Explorer who must Discover a Car in A U-Boat",158
348,"A Thoughtful Display of a Mad Scientist And a Secret Agent who must Chase a Boat in Berlin",49
959,"A Astounding Yarn of a Pioneer And a Crocodile who must Defeat a A Shark in The Outback",190
809,"A Taut Reflection of a Secret Agent And a Man who must Redeem a Explorer in A MySQL Convention",63
875,"A Lacklusture Panorama of a Dentist And a Forensic Psychologist who must Outrace a Pioneer in A U-Boat",85
431,"A Astounding Display of a Explorer And a Boat who must Vanquish a Car in The First Manned Space Station",32
239,"A Brilliant Character Study of a Database Administrator And a Monkey who must Succumb a Astronaut in New Orleans",163
320,"A Fast-Paced Reflection of a Composer And a Composer who must Meet a Cat in The Sahara Desert",55
260,"A Stunning Reflection of a Husband And a Lumberjack who must Face a Frisbee in An Abandoned Fun House",30
106,"A Amazing Display of a Mad Cow And a Pioneer who must Redeem a Sumo Wrestler in The Outback",65
750,"A Touching Tale of a Cat And a Pastry Chef who must Conquer a Pastry Chef in A MySQL Convention",105
70,"A Astounding Drama of a Astronaut And a Cat who must Discover a Woman in The First Manned Space Station",6
35,"A Action-Packed Reflection of a Pastry Chef And a Composer who must Discover a Mad Scientist in The First Manned Space Station",7
973,"A Awe-Inspiring Epistle of a Teacher And a Feminist who must Confront a Pioneer in Ancient Japan",157
433,"A Stunning Display of a Mad Scientist And a Technical Writer who must Succumb a Monkey in A Shark Tank",177
455,"A Awe-Inspiring Yarn of a Monkey And a Hunter who must Chase a Teacher in Ancient China",16
236,"A Boring Character Study of a Man And a Womanizer who must Succumb a Teacher in An Abandoned Amusement Park",69
